car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly),image_url
AYLA X 1.2,Daihatsu,2018,10.508,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,101000000,2060000,https://www.mtf.co.id/media/image/thumbs/kendaraan/car/20180601/car20180601-3-730-530_thumb_c.jpg
AGYA G 1.2,Toyota,2019,30.404,Jakarta Barat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000,https://kreditkerenbanget.com/imagecache/original/flNCy17057362885560QW2Y.webp
AYLA R DLX 1.2,Daihatsu,2017,53.151,Jakarta Selatan,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,115000000,2340000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-fL3Ia5FcFzU9XF-EEl65Qy7Tw39bOisz0Q&s
AGYA G TRD 1.2,Toyota,2019,46.182,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,118000000,2400000,https://imgcdn.oto.com/medium/gallery/exterior/38/1732/toyota-agya-84768.jpg
MOBILIO E 1.5,Honda,2018,45.376,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,155000000,3160000,https://imgcdn.oto.com/large/gallery/exterior/14/98/honda-mobilio-front-angle-low-view-192461.jpg
AYLA R 1.2,Daihatsu,2017,61.937,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,105500000,2150000,"https://imgx.gridoto.com/crop/0x161:1095x843/700x465/filters:watermark(file/2017/gridoto/img/watermark_otomotifnet.png,5,5,60)/photo/2021/12/27/whatsapp-image-2021-12-27-at-20-20211227081648.jpeg"
CR-V TURBO 1.5,Honda,2017,75.302,Jakarta Utara,Automatic,even plate,0,0,0,1,0,0,1,0,0,0,0,340000000,6930000,https://imgcdn.oto.com/medium/gallery/exterior/14/2790/honda-cr-v-2023-22812.jpg
ALMAZ LT LUX 1.5,Wuling,2019,50.387,Jakarta Timur,Automatic,odd plate,0,1,1,0,0,0,0,0,0,0,0,202000000,4120000,https://carikendaraan.com/images/big/476571507_IMG-20200307-WA0008.jpg
XPANDER ULTIMATE 1.5,Mitsubishi,2019,72.887,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,1,216000000,4400000,https://assets.mitsubishi-motors.co.id/compress/products/colors/1642135848-ultimate-white-at-2x-minpng.webp
HR-V E 1.5,Honda,2019,35.177,Jakarta Timur,Automatic,odd plate,0,0,0,1,0,0,1,0,0,0,0,248000000,5050000,https://img.cintamobil.com/resize/600x-/2022/08/17/20220817125945-90ef.png
OUTLANDER SPORT PX 2.0,Mitsubishi,2018,57.23,Jakarta Timur,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,228000000,4650000,https://mocil.id/uploads/vehicle/size-md-thumb-350--FoFcVPGyVs7DMTNBQUFPBnlAP5HOuSuqYCVwxoMk.jpg
OUTLANDER SPORT GLS 2.0,Mitsubishi,2014,133.127,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,157000000,3200000,https://imgcdn.oto.com/large/gallery/exterior/28/364/mitsubishi-outlander-sport-front-angle-low-view-408849.jpg
AVANZA G 1.3,Toyota,2016,98.478,Jakarta Barat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,143000000,2910000,https://imgcdn.oto.com/large/gallery/exterior/38/1654/toyota-avanza-front-angle-low-view-844132.jpg
AYLA R 1.2,Daihatsu,2018,85.184,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4_w_txbhjDjQssWJtbbm-LLMYm1BU8O6X2Q&s
CR-V TURBO 1.5,Honda,2017,64.558,Jakarta Selatan,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,335000000,6830000,https://imgcdn.oto.com/medium/gallery/exterior/14/2790/honda-cr-v-2023-22812.jpg
